Word, Frequency, ID
Today, 1, 1788
Tr, 1, 298
Transaction, 1, 642
Treatise, 2, 386
Twenty, 1, 1706
Two, 2, 1244
Type, 4, 488
Typematic, 3, 581
USB, 3, 648
Up, 3, 481
Update, 1, 568
UpperMemory, 1, 547
User, 1, 536
V, 1, 675
VCD, 1, 593
VGA, 4, 574
VGABIOS, 1, 636
Vegas, 1, 915
Venus, 1, 1446
Victoria, 3, 377
Video, 5, 609
Virus, 1, 550
W, 3, 681
WIN, 3, 506
WakeOnlan, 1, 707
Wakeup, 1, 705
Walter, 1, 1563
Warning, 1, 551
Way, 1, 1472
We, 4, 782
Well, 1, 936
When, 2, 1357
Why, 2, 714
Win, 1, 601
Windows, 2, 553
Without, 1, 1585
Wolfram, 1, 194
Wonderland, 1, 396
Worry, 2, 1047
X, 1, 608
XP, 1, 602
Yes, 2, 629
Yet, 3, 1234
You, 1, 980
a, 335, 138
aA, 1, 260
about, 10, 436
above, 2, 466
absolute, 4, 188
absorb, 1, 1371
absorbing, 2, 1232
absurdly, 1, 1594
accept, 1, 1350
access, 1, 976
accompaniment, 1, 1391
according, 1, 1406
account, 1, 383
accounts, 1, 369
accumulated, 1, 860
accuracy, 1, 1844
accurate, 2, 1720
achieved, 1, 1353
achieving, 1, 935
acquire, 2, 1127
activity, 1, 1774
ad, 1, 199
added, 1, 324
additional, 2, 1179
additive, 1, 262
advanced, 4, 1365
adverse, 1, 731
advisers, 1, 962
affection, 1, 1293
after, 3, 799
afternoon, 2, 1156
afterwards, 1, 1425
against, 4, 1523
age, 5, 951
aggravates, 2, 1124
aggressive, 1, 1019
ago, 2, 1494
agree, 1, 356
aid, 1, 1354
aim, 1, 928
aims, 2, 983
alarming, 1, 1373
all, 18, 238
almost, 5, 1175
alone, 3, 1473
along, 2, 793
alongside, 1, 1029
already, 2, 1364
also, 6, 220
alternative, 4, 1098
although, 1, 1518
am, 1, 1610
amount, 1, 1633
an, 26, 258
and, 139, 133
anger, 1, 1341
animal, 2, 1266
animals, 1, 1325
anking, 1, 692
another, 4, 1073
answers, 1, 947
any, 9, 966
anyone, 1, 1742
anything, 1, 1680
anywhere, 1, 1810
apart, 2, 1881
appetite, 4, 1211
applied, 2, 790
approach, 1, 1020
approaches, 1, 1337
approximately, 1, 1433
are, 47, 153
argue, 2, 1057
argued, 1, 1503
around, 2, 904
arranged, 1, 1592
arrival, 1, 1359
as, 21, 176
ask, 1, 940
asserts, 1, 411
assign, 1, 1280
assistants, 1, 1385
associated, 1, 1775
assume, 1, 970
assumed, 1, 1748
assuming, 1, 1543
astronomer, 2, 1502
astronomers, 1, 1458
astronomical, 1, 1527
at, 20, 1109
atmosphere, 4, 1237
atmospheres, 1, 1456
atoms, 1, 1575
attempt, 2, 1123
attendance, 1, 839
attended, 2, 1071
attention, 2, 883
author, 2, 400
automatic, 2, 1507
available, 1, 1789
avenging, 2, 1187
average, 2, 1532
averages, 1, 1824
await, 1, 1510
awakening, 1, 1512
aware, 1, 1700
away, 6, 894
b, 92, 139
back, 2, 745
bad, 1, 1749
banishing, 2, 1241
barely, 1, 1547
baseball, 2, 1154
basic, 1, 1800
basics, 1, 972
bc, 1, 200
be, 48, 162
bear, 1, 1615
beating, 1, 1255
became, 1, 840
because, 3, 1636
become, 1, 1327
becomes, 2, 1421
bed, 1, 1793
been, 7, 432
beer, 2, 1160
before, 3, 852
begin, 1, 1321
begins, 4, 1084
behind, 1, 1509
being, 4, 1197
beings, 3, 1141
believe, 3, 728
belong, 2, 1216
benefit, 2, 1134
benefits, 1, 770
best, 2, 1521
between, 6, 1312
beyond, 1, 1848
binding, 1, 830
biology, 1, 1631
births, 1, 778
bits, 1, 1646
blandishments, 1, 1410
blessed, 1, 1021
blizzards, 1, 1859
bomb, 2, 1695
book, 1, 1566
bookless, 2, 717
books, 2, 419
boost, 1, 992
boredom, 2, 1188
both, 3, 1235
bottom, 2, 1746
bound, 2, 1460
brains, 1, 1719
bring, 2, 1207
broadcasting, 1, 1582
broadcasts, 1, 1545
brokers, 1, 939
burned, 1, 1671
burst, 1, 1773
business, 5, 1091
but, 16, 352
buy, 1, 901
by, 42, 204
c, 76, 140
cables, 1, 1778
calculates, 1, 1905
call, 1, 1459
called, 2, 145
calves, 1, 1297
can, 25, 202
cannot, 2, 1690
capability, 1, 604
capable, 2, 1290
capacity, 1, 792
capital, 2, 996
caprice, 2, 1172
captive, 5, 1332
captives, 1, 1362
capture, 1, 1315
carefully, 3, 759
cascading, 1, 1866
case, 1, 1001
cases, 2, 1305
cash, 2, 978
catches, 2, 1051
caused, 1, 1669
cave, 1, 1614
cent, 1, 1478
centuries, 1, 864
century, 1, 736
certain, 5, 437
certainly, 1, 1834
certainty, 1, 1466
chain, 1, 1868
challenger, 1, 1781
chance, 4, 1150
change, 4, 351
changes, 1, 318
changing, 1, 327
chant, 1, 1394
charmed, 1, 394
cheerful, 1, 1275
chemical, 2, 1550
chiefly, 1, 1642
child, 2, 879
children, 4, 857
chosen, 4, 1069
circumstance, 1, 1302
circumstances, 2, 732
citizens, 1, 795
civilization, 4, 768
civilized, 1, 848
class, 2, 1218
classes, 6, 1143
clatter, 2, 1189
clear, 1, 927
cliffs, 1, 1828
climates, 1, 1652
close, 1, 1737
closed, 1, 366
cm, 1, 1571
coasts, 1, 1650
cofactor, 1, 221
collected, 1, 1761
collection, 1, 362
college, 1, 802
column, 5, 226
columns, 5, 275
come, 5, 1228
command, 4, 1096
commonly, 1, 169
communicate, 1, 1562
communication, 1, 1584
community, 4, 1627
companions, 1, 1375
compensations, 2, 1203
compete, 1, 1619
competition, 3, 1599
completely, 2, 1367
complex, 5, 290
component, 1, 174
compulsory, 1, 837
computed, 1, 235
computer, 3, 1904
conceive, 2, 1679
concept, 1, 1673
conclude, 1, 1429
condition, 3, 819
conditioned, 2, 1677
conditions, 1, 1609
conditoned, 1, 1643
confidence, 1, 1348
confined, 1, 1729
confines, 1, 1747
confirmed, 1, 1780
confronted, 1, 899
conjugate, 2, 291
considerable, 2, 1291
considerations, 1, 1262
consists, 1, 1253
constant, 2, 257
constantly, 1, 441
construct, 1, 1003
constructed, 1, 1705
contact, 1, 1526
contain, 2, 254
contains, 1, 1825
content, 2, 344
continent, 1, 1873
continental, 3, 1813
continents, 5, 1651
contradiction, 1, 430
control, 1, 1387
controlled, 1, 1418
convenient, 1, 185
conventions, 1, 1678
convertibles, 1, 1010
convulsive, 2, 1065
copy, 2, 378
correct, 1, 1714
could, 2, 858
course, 4, 406
covered, 2, 1830
covers, 1, 1796
created, 1, 1920
creature, 1, 1618
creatures, 1, 1600
critical, 1, 1601
crust, 1, 1801
cultivation, 2, 1085
culture, 1, 1661
cultures, 1, 826
curls, 1, 1423
customary, 1, 1358
cycles, 1, 757
d, 4, 198
daily, 2, 1131
dangerous, 2, 1665
data, 2, 1882
day, 6, 1093
days, 6, 1165
dealing, 1, 1608
death, 3, 1145
decide, 2, 1018
decided, 1, 1033
deemed, 1, 853
deep, 4, 1740
defendants, 1, 776
defined, 3, 154
definite, 1, 925
degree, 3, 1292
delinquency, 1, 890
democratic, 2, 716
denoted, 2, 170
depends, 2, 353
deposits, 1, 1009
deprived, 2, 733
depth, 1, 1735
desire, 3, 398
destroy, 1, 1688
destroying, 1, 1717
destructive, 2, 1662
det, 5, 171
details, 1, 1702
deteriorates, 1, 1861
determinant, 30, 146
determinants, 1, 469
determined, 2, 247
determines, 1, 1637
develop, 1, 1481
development, 3, 876
deviations, 1, 1919
devils, 1, 1871
did, 1, 1723
different, 4, 781
difficult, 2, 1524
dimensional, 4, 343
directions, 1, 1416
discipline, 2, 1191
discovered, 2, 1576
disk, 1, 462
disposition, 1, 1023
disputing, 1, 1612
distance, 2, 1535
distances, 2, 1528
distribution, 1, 468
distributive, 1, 264
diversion, 2, 1238
divided, 4, 1142
dividing, 1, 1816
do, 11, 943
doctors, 1, 773
does, 3, 930
dogs, 1, 1289
doing, 2, 1136
dominated, 1, 1455
doubt, 1, 1686
down, 3, 237
drainage, 1, 1622
drawn, 1, 1791
dredging, 1, 1762
dry, 1, 1443
due, 1, 405
during, 1, 863
dust, 1, 1870
e, 1, 191
each, 2, 241
early, 3, 1273
earn, 1, 1322
earth, 3, 1798
easily, 1, 1326
eating, 1, 1376
economical, 1, 1314
eddies, 1, 1875
education, 5, 715
educational, 1, 796
effect, 1, 1696
effects, 2, 1399
effort, 6, 1126
either, 2, 1355
elementary, 1, 314
elephant, 14, 1254
elephants, 4, 1248
eliminating, 2, 130
else, 4, 1064
emission, 1, 1574
emotion, 2, 1049
emphasize, 1, 1656
employed, 1, 1331
enable, 2, 1703
encounter, 1, 1598
endearing, 1, 1401
enforced, 4, 1230
enjoyed, 1, 413
enlightened, 1, 749
enough, 4, 1223
entirely, 1, 1283
entitled, 1, 869
entries, 2, 461
environment, 4, 1635
envisioned, 1, 1630
epithets, 1, 1402
epsilon, 4, 248
epsilonA, 1, 295
epsilonTr, 1, 296
equal, 5, 279
equally, 1, 815
equals, 1, 288
equation, 1, 151
equations, 1, 137
equipped, 1, 816
eroded, 1, 1838
errors, 3, 1840
escape, 2, 1186
essential, 3, 1239
essentially, 1, 1640
establish, 1, 981
established, 2, 335
establishment, 1, 1351
estimated, 1, 1475
even, 10, 454
eventually, 1, 1420
ever, 2, 881
every, 8, 451
everybody, 1, 814
everything, 2, 1170
everywhere, 1, 1885
evolution, 1, 1638
exFmple, 1, 129
exactly, 1, 929
example, 2, 252
excellent, 1, 1565
excitement, 2, 1178
exist, 1, 1474
existence, 2, 1578
existent, 1, 847
exists, 2, 1486
expanded, 1, 203
expansion, 3, 229
expected, 1, 1259
expedition, 1, 1766
experience, 1, 1606
expressed, 1, 397
expression, 1, 142
extra, 1, 998
extreme, 1, 1304
factor, 1, 1658
factored, 1, 321
factory, 2, 1206
facts, 1, 786
fall, 2, 1103
false, 1, 450
family, 1, 952
famous, 1, 1764
far, 1, 1447
fashioned, 1, 798
fatheom, 1, 1820
father, 2, 898
fathoms, 2, 1757
favoured, 2, 1215
fear, 1, 1342
feature, 1, 562
features, 3, 1786
feed, 1, 1299
fellow, 1, 794
few, 4, 862
fiction, 1, 444
field, 2, 1074
fierce, 1, 1629
fiercely, 1, 1414
fifteen, 1, 1316
figures, 1, 787
finances, 1, 953
financial, 1, 1016
finished, 1, 1603
firm, 1, 1330
first, 7, 1089
five, 3, 937
fixed, 1, 1632
flat, 1, 1750
floor, 5, 1726
fluctuations, 2, 1917
following, 1, 311
follows, 3, 269
food, 4, 1340
foot, 5, 1818
football, 2, 1153
for, 31, 147
forecaster, 1, 1856
forecasts, 1, 1846
form, 7, 304
formed, 1, 224
former, 3, 1200
forms, 7, 822
fortunately, 1, 1689
fortune, 1, 1043
found, 2, 268
four, 1, 1557
frantically, 2, 1183
free, 1, 1674
frequency, 3, 1570
friend, 1, 1589
fritter, 1, 918
from, 25, 135
front, 1, 1379
fruits, 2, 1108
ft, 1, 699
full, 2, 875
further, 1, 232
futile, 2, 1059
game, 2, 1152
gave, 1, 1743
general, 2, 208
generating, 1, 997
gentle, 4, 1251
gently, 2, 1062
geologically, 1, 1815
geologists, 1, 1772
get, 8, 744
gifted, 2, 1044
gilts, 1, 1008
give, 4, 948
given, 3, 256
gives, 2, 141
giving, 1, 426
global, 1, 1855
globe, 1, 1925
go, 4, 934
going, 1, 433
golden, 1, 1035
gone, 1, 1672
good, 5, 788
got, 2, 1137
gradually, 3, 1075
grain, 1, 1307
grasp, 2, 1066
gratify, 2, 1171
great, 3, 1128
greater, 1, 1797
greatest, 1, 734
grid, 1, 1878
grip, 2, 1080
ground, 3, 1104
group, 1, 748
growing, 1, 877
grows, 1, 880
growth, 2, 1097
grudged, 2, 1229
guess, 1, 1531
guessed, 1, 1883
had, 3, 1488
half, 1, 1295
halfway, 1, 1548
hampers, 1, 874
hand, 3, 1110
handed, 1, 1709
hands, 3, 1174
happen, 1, 1906
happening, 1, 1374
happy, 3, 861
hard, 2, 1147
hardly, 2, 1133
harmony, 2, 1221
has, 15, 209
have, 30, 772
having, 2, 412
hazards, 1, 1732
he, 1, 1258
heavy, 1, 1320
her, 1, 416
here, 2, 1037
heretics, 1, 1670
hide, 1, 1916
high, 2, 1005
highly, 1, 1482
him, 2, 1256
his, 9, 380
history, 1, 1711
ho, 1, 1404
hobbies, 2, 1117
hobby, 2, 1086
hold, 2, 1052
holding, 1, 1380
holiday, 2, 1225
holidays, 2, 1227
home, 4, 895
hope, 1, 1597
hopeful, 2, 1192
hostage, 1, 1042
hot, 1, 1448
hours, 4, 1204
how, 3, 393
however, 2, 1411
human, 4, 1140
humidity, 1, 1897
hundred, 4, 1467
hundreds, 1, 1559
hurry, 1, 871
hydrogen, 2, 1454
i, 10, 190
ideal, 1, 818
ideas, 3, 1663
identity, 2, 272
if, 18, 164
ij, 12, 211
illiterates, 1, 832
illumination, 2, 1072
imaginable, 1, 803
imagine, 1, 1724
immediately, 1, 1408
implemented, 1, 193
implied, 1, 215
importance, 3, 739
important, 1, 1657
impossible, 1, 1841
impression, 1, 1519
improvised, 2, 1094
in, 79, 173
inability, 1, 900
include, 2, 310
income, 3, 994
indicating, 1, 187
individual, 1, 982
induce, 1, 1396
induction, 1, 336
industrious, 2, 1195
infinitely, 1, 1902
information, 3, 950
ing, 1, 584
inherited, 1, 807
inject, 2, 1684
inscribed, 1, 408
inside, 1, 1676
insinuate, 2, 1063
instance, 1, 987
instead, 1, 192
institutions, 1, 742
instruction, 2, 758
insurance, 1, 975
intelligences, 1, 1587
intelligent, 4, 1483
interest, 7, 746
interests, 2, 1100
interpretation, 1, 341
interruptions, 2, 1231
interstellar, 1, 1583
interval, 1, 367
intervals, 3, 1242
into, 10, 967
invaded, 1, 1660
invariance, 1, 312
inverse, 2, 263
inversions, 2, 250
invest, 1, 741
investigated, 1, 1727
investment, 2, 1012
investments, 2, 924
investor, 2, 912
inviting, 2, 1157
involved, 1, 355
irregularities, 1, 1734
is, 123, 144
islands, 1, 1804
it, 37, 446
its, 20, 756
iv, 1, 365
j, 4, 218
job, 1, 1285
jungles, 1, 886
just, 1, 1288
juvenile, 1, 889
k, 25, 201
ka, 12, 210
kb, 8, 338
keen, 4, 1210
keep, 1, 1323
key, 2, 721
killer, 1, 1270
kind, 2, 1577
kk, 4, 207
knew, 1, 1668
know, 3, 888
knowledge, 6, 806
known, 4, 390
l, 1, 624
lack, 1, 1604
lambdaI, 4, 285
lambdaIB, 1, 286
land, 1, 1738
lank, 1, 673
large, 1, 747
lashes, 1, 1413
last, 1, 1617
late, 2, 1120
latency, 1, 633
later, 1, 1267
latitudes, 1, 1648
law, 1, 841
lawyers, 1, 775
lay, 3, 783
laying, 1, 1776
leaders, 1, 755
leading, 1, 1500
learning, 1, 743
least, 2, 1115
leave, 1, 913
led, 1, 644
left, 3, 1366
length, 1, 1580
less, 2, 784
let, 3, 1055
letters, 1, 244
life, 11, 817
light, 6, 1533
like, 11, 769
likely, 1, 946
likewise, 1, 337
line, 2, 1809
little, 1, 1721
living, 1, 893
ll, 1, 969
long, 10, 851
longer, 1, 1639
looking, 1, 1682
losses, 1, 991
lower, 1, 1832
loyal, 1, 1278
loyally, 1, 407
m, 1, 197
made, 1, 415
magnitude, 1, 1787
mahout, 2, 1282
main, 2, 999
major, 2, 990
majority, 2, 1201
make, 3, 855
making, 3, 892
man, 17, 725
many, 3, 726
map, 1, 1790
mark, 1, 1821
market, 1, 933
marriages, 1, 777
masses, 1, 1839
master, 1, 1287
material, 1, 1836
mathematical, 2, 381
matrices, 3, 157
matrix, 19, 159
matter, 3, 866
may, 16, 183
mean, 1, 1857
means, 7, 267
meet, 1, 1588
megacycles, 1, 1573
member, 1, 811
memory, 1, 789
men, 2, 751
mental, 4, 1099
mentality, 1, 916
mention, 1, 1693
mere, 4, 1095
message, 1, 1546
messenger, 3, 1508
metal, 2, 1383
meteorologist, 1, 1899
method, 3, 1252
might, 3, 1516
miles, 8, 1537
million, 5, 1469
millions, 1, 1493
mind, 4, 1050
minds, 3, 1243
minor, 1, 223
minors, 3, 205
minus, 1, 282
models, 1, 1877
modern, 6, 740
modest, 4, 1213
monetary, 1, 867
money, 5, 917
monotonous, 1, 1392
month, 1, 1914
moral, 1, 1261
more, 8, 184
mortgages, 1, 973
mosquito, 2, 1620
most, 14, 801
mother, 1, 1405
motion, 2, 1190
mounted, 1, 1386
movements, 1, 1417
much, 3, 414
multilinear, 1, 273
multiple, 1, 283
multiplication, 1, 330
multiplied, 1, 1922
multiplies, 1, 331
multiply, 1, 1865
must, 13, 1102
my, 4, 429
mysterious, 1, 1741
n, 26, 168
namely, 1, 1538
nations, 1, 849
natural, 5, 1220
navigation, 1, 1733
near, 3, 1452
nearby, 1, 1346
nearest, 1, 1555
nearly, 1, 1807
necessary, 1, 854
necessity, 1, 891
need, 4, 1236
needed, 2, 1111
needs, 1, 919
neglect, 1, 897
never, 2, 1222
new, 8, 1087
newcomer, 1, 931
next, 2, 401
nights, 1, 1027
nn, 1, 307
no, 15, 214
non, 1, 846
none, 2, 870
noon, 2, 1901
normally, 1, 1377
not, 23, 359
notation, 2, 175
nothing, 2, 453
now, 3, 1437
nowadays, 1, 1607
number, 9, 249
numbers, 1, 340
object, 2, 1176
obligation, 1, 827
observation, 1, 1782
obstacles, 1, 1525
obtain, 1, 206
obtained, 2, 1755
occurred, 1, 456
occurs, 1, 1817
ocean, 3, 1784
oceans, 4, 1728
of, 218, 150
off, 6, 670
offensive, 1, 1427
offering, 1, 905
office, 2, 1205
often, 4, 873
old, 2, 1078
older, 1, 988
on, 27, 301
once, 1, 448
one, 24, 379
ones, 1, 1007
only, 19, 155
open, 2, 1739
operations, 1, 315
opportunities, 2, 737
opportunity, 1, 425
or, 45, 172
orbit, 1, 1553
order, 1, 1879
ordinary, 2, 1226
orientation, 2, 354
oriented, 2, 342
origin, 1, 1431
original, 3, 280
other, 11, 418
others, 1, 1388
ought, 2, 1114
our, 24, 723
ours, 1, 1491
out, 5, 322
outer, 2, 1450
outlook, 3, 780
outside, 3, 1683
over, 4, 217
own, 11, 836
ownership, 1, 1613
oxygen, 1, 1445
p, 6, 180
pages, 3, 1708
papers, 1, 435
parallelepiped, 2, 345
parent, 1, 884
part, 3, 1485
particular, 2, 452
particularly, 2, 302
partly, 2, 985
parts, 1, 1783
passing, 1, 1745
past, 2, 800
path, 2, 1193
patience, 1, 1272
patterns, 2, 1484
pedestrian, 1, 1030
pension, 1, 993
pensions, 1, 974
people, 6, 805
peoples, 1, 834
per, 3, 1477
perfectly, 1, 1893
perhaps, 3, 965
permutation, 4, 242
permutations, 2, 239
persists, 1, 1628
person, 2, 1626
personal, 2, 986
personality, 1, 878
phase, 1, 1602
physical, 3, 1634
physicists, 1, 1771
picked, 1, 1544
pieces, 1, 1854
pined, 1, 1300
place, 5, 1184
placed, 1, 1360
planet, 4, 1432
planets, 6, 1434
planned, 1, 922
playing, 2, 1151
pleasurable, 1, 1397
pleasure, 8, 1177
plenty, 1, 1369
plots, 1, 465
plunges, 1, 1335
point, 2, 1384
pointed, 1, 1419
points, 2, 363
policy, 2, 1088
politician, 2, 1158
poor, 2, 1444
portfolio, 4, 921
position, 1, 1017
possess, 1, 1699
possibility, 2, 1464
possible, 2, 1511
potential, 1, 754
power, 1, 565
powerful, 1, 1903
powers, 1, 1710
practice, 1, 1605
pre, 1, 1591
preachers, 1, 774
precise, 1, 1569
predict, 2, 1842
prediction, 1, 1860
present, 4, 882
presented, 3, 404
preserving, 1, 995
pressure, 1, 1896
pretty, 1, 1438
prevailing, 1, 1495
prices, 1, 1028
primitive, 5, 825
principle, 1, 1310
priorities, 1, 1000
private, 1, 911
probably, 7, 1002
process, 6, 228
produces, 2, 1264
product, 1, 306
professional, 2, 1159
progressive, 1, 821
proper, 1, 920
properties, 1, 309
psychologist, 2, 1046
psychology, 2, 791
public, 2, 1090
publicity, 1, 428
punctuated, 1, 761
purchasable, 1, 764
purposes, 1, 1428
put, 3, 1034
qualified, 1, 1770
quantity, 1, 1898
quick, 1, 907
quietens, 1, 1349
quite, 3, 1076
radio, 4, 1501
rain, 1, 1913
random, 1, 470
rapidly, 1, 1862
rather, 1, 1653
rational, 3, 1194
rd, 2, 516
re, 4, 945
reaches, 2, 1822
readings, 1, 1894
ready, 1, 1318
real, 5, 339
really, 7, 1070
reason, 1, 1853
reasonable, 2, 1530
reasonably, 1, 1697
receive, 3, 399
receiving, 1, 1513
recognizable, 1, 1581
recover, 1, 989
recuperation, 2, 1082
refuse, 1, 1339
refused, 1, 1298
regain, 1, 824
regard, 1, 1799
reinforced, 1, 1400
relationship, 1, 1311
relaxes, 2, 1081
relevant, 1, 949
relief, 3, 1135
rendezvous, 1, 1593
repair, 2, 1083
repeated, 1, 442
reputable, 1, 938
requires, 1, 1271
resembling, 1, 455
resentful, 1, 1265
reserves, 1, 979
resources, 1, 1654
respect, 1, 813
respectively, 1, 1249
responsible, 1, 1284
result, 1, 1835
results, 1, 896
reward, 2, 1208
rich, 1, 906
right, 1, 956
rightly, 2, 1068
rising, 1, 1889
risk, 2, 1006
rockets, 1, 1551
roped, 2, 1333
round, 3, 434
row, 4, 225
rows, 5, 274
rub, 1, 1389
